label,no. births
Alpine,-
Alpine,-
Alpine,118
Alpine,93
Alpine,95
Alpine,92
Alpine,109
Alpine,-
Alpine,-
Ararat,-
Ararat,-
Ararat,124
Ararat,101
Ararat,125
Ararat,105
Ararat,103
Ararat,-
Ararat,-
Ballarat,-
Ballarat,-
Ballarat,"1,409"
Ballarat,"1,264"
Ballarat,"1,297"
Ballarat,"1,225"
Ballarat,"1,358"
Ballarat,-
Ballarat,-
Banyule,-
Banyule,-
Banyule,"1,628"
Banyule,"1,572"
Banyule,"1,513"
Banyule,"1,369"
Banyule,"1,413"
Banyule,-
Banyule,-
Bass Coast,-
Bass Coast,-
Bass Coast,367
Bass Coast,353
Bass Coast,297
Bass Coast,295
Bass Coast,370
Bass Coast,-
Bass Coast,-
Baw Baw,-
Baw Baw,-
Baw Baw,625
Baw Baw,623
Baw Baw,653
Baw Baw,619
Baw Baw,726
Baw Baw,-
Baw Baw,-
Bayside (Vic.),-
Bayside (Vic.),-
Bayside (Vic.),956
Bayside (Vic.),892
Bayside (Vic.),846
Bayside (Vic.),791
Bayside (Vic.),851
Bayside (Vic.),-
Bayside (Vic.),-
Benalla,-
Benalla,-
Benalla,136
Benalla,164
Benalla,125
Benalla,129
Benalla,136
Benalla,-
Benalla,-
Boroondara,-
Boroondara,-
Boroondara,"1,520"
Boroondara,"1,392"
Boroondara,"1,413"
Boroondara,"1,236"
Boroondara,"1,228"
Boroondara,-
Boroondara,-
Brimbank,-
Brimbank,-
Brimbank,"2,964"
Brimbank,"2,812"
Brimbank,"2,584"
Brimbank,"2,399"
Brimbank,"2,180"
Brimbank,-
Brimbank,-
Buloke,-
Buloke,-
Buloke,51
Buloke,51
Buloke,58
Buloke,64
Buloke,62
Buloke,-
Buloke,-
Campaspe,-
Campaspe,-
Campaspe,397
Campaspe,395
Campaspe,391
Campaspe,384
Campaspe,396
Campaspe,-
Campaspe,-
Cardinia,-
Cardinia,-
Cardinia,"1,703"
Cardinia,"1,701"
Cardinia,"1,767"
Cardinia,"1,726"
Cardinia,"1,792"
Cardinia,-
Cardinia,-
Casey,-
Casey,-
Casey,"5,422"
Casey,"5,253"
Casey,"5,324"
Casey,"5,227"
Casey,"5,464"
Casey,-
Casey,-
Central Goldfields,-
Central Goldfields,-
Central Goldfields,129
Central Goldfields,115
Central Goldfields,107
Central Goldfields,105
Central Goldfields,105
Central Goldfields,-
Central Goldfields,-
Colac Otway,-
Colac Otway,-
Colac Otway,243
Colac Otway,261
Colac Otway,206
Colac Otway,226
Colac Otway,205
Colac Otway,-
Colac Otway,-
Corangamite,-
Corangamite,-
Corangamite,153
Corangamite,151
Corangamite,141
Corangamite,137
Corangamite,153
Corangamite,-
Corangamite,-
