suburb,births,birth_rate,,
Abbotsford,99,0.92,,
Airport West,111,1.61,,
Albert Park,139,1.19,,
Alexandra,44,1.54,,
Alfredton,200,1.76,,
Alphington,94,1.14,,
Altona,141,1.49,,
Altona Meadows,215,1.59,,
Altona North,243,1.96,,
Ararat,87,1.67,,
Ararat Surrounds,26,2.34,,
Ardeer,118,1.68,,
Armadale,83,1.05,,
Ascot Vale,192,1.50,,
Ashburton,65,1.49,,
Ashwood,241,1.39,,
Aspendale Gardens,40,1.23,,
Avoca,17,1.93,,
Avondale Heights,110,1.51,,
Bacchus Marsh,364,1.79,,
Bacchus Marsh Surrounds,66,2.09,,
Bairnsdale,171,1.95,,
Ballarat,92,1.44,,
Ballarat,"1,312",1.67,,
Ballarat East,96,1.53,,
Ballarat North,153,1.68,,
Balwyn,72,1.03,,
Balwyn North,105,1.00,,
Bannockburn,106,2.20,,
Banyule,"1,421",1.54,,
Baranduda,196,1.87,,
Barwon ,271,2.17,,
Barwon Heads,195,1.83,,
Baw Baw,726,1.91,,
Bayside,738,1.53,,
Bayswater,135,1.44,,
Bayswater North,133,1.56,,
Beaconsfield,464,1.95,,
Beaufort,35,1.70,,
Beaumaris,58,1.24,,
Beechworth,37,1.49,,
Belgrave,110,1.74,,
Belmont,207,1.66,,
Benalla,89,1.80,,
Benalla Surrounds,29,2.00,,
Bendigo,147,1.48,,
Bendigo,"1,168",1.70,,
Bendigo Surrounds,43,1.92,,
Bendigo Surrounds - South,108,2.15,,
Bentleigh - McKinnon,204,1.21,,
Bentleigh East - North,157,1.56,,
Bentleigh East - South,150,1.73,,
Berwick - North,208,1.58,,
Berwick - South East,178,1.42,,
Berwick - South West,143,1.61,,
Blackburn,181,1.19,,
Blackburn South,84,1.34,,
Boronia,308,1.54,,
Boroondara,"1,114",1.10,,
Box Hill,174,0.77,,
Box Hill North,139,1.18,,
Braeside,0,np,,
Braybrook,274,1.36,,
Bright ,60,1.30,,
Brighton,168,1.60,,
Brighton East,108,1.54,,
Brimbank,"2,025",1.53,,
Broadmeadows,229,1.95,,
Brookfield,177,2.07,,
Brunswick - Coburg,926,1.00,,
Brunswick - North,129,0.92,,
Brunswick - South,117,0.84,,
Brunswick East,143,0.75,,
Brunswick West,134,0.98,,
Bruthen - Omeo,89,1.99,,
Bulleen,101,1.38,,
Buloke,67,2.57,,
Bundoora - East,95,1.52,,
Bundoora - North,64,1.15,,
Bundoora - West,71,1.33,,
Buninyong,51,1.80,,
Bunyip - Garfield,115,1.80,,
Burnside,65,1.80,,
Burnside Heights,61,1.36,,
Burwood  ,103,1.01,,
Burwood East,72,1.00,,
Cairnlea,101,1.42,,
California Gully - Eaglehawk,143,1.74,,
Camberwell,150,1.24,,
Campaspe,402,1.98,,
Campbellfield - Coolaroo,217,1.98,,
Camperdown,34,2.00,,
Canadian - Mount Clear,141,1.49,,
Cardinia,"1,894",1.89,,
Carlton,93,0.56,,
Carlton North - Princes Hill,86,1.14,,
Carnegie,174,1.08,,
Caroline Springs,191,1.57,,
Carrum - Patterson Lakes,140,1.80,,
Carrum Downs,354,1.80,,
Casey - North,"1,621",1.63,,
Casey - South,"3,855",1.97,,
Castlemaine,79,1.63,,
Castlemaine Surrounds,73,1.87,,
Caulfield - North,244,1.47,,
Caulfield - South,176,1.40,,
Charlemont,262,1.98,,
Chelsea - Bonbeach,206,1.62,,
Chelsea Heights,56,1.72,,
Chiltern - Indigo Valley,33,2.11,,
Chirnside Park,148,1.86,,
Churchill,131,1.94,,
